age,fnlwgt,education.num,hours.per.week
22,150683,9,24
25,262664,13,40
61,29059,9,25
44,44822,10,40
50,140516,13,40
54,133403,10,40
41,182108,14,35
33,182556,13,40
36,117381,9,40
29,183285,10,36
47,148576,15,35
47,200471,9,40
27,253814,9,25
30,19302,10,48
58,119386,11,60
20,132320,9,45
29,177119,11,45
43,313181,9,38
45,146497,10,55
28,87239,9,50
21,154422,10,40
63,207385,10,30
21,250647,10,30
57,215175,14,60
25,195118,9,35
62,257277,9,38
32,37232,15,45
33,107248,11,45
25,363707,9,40
61,95929,5,40
28,294936,13,45
28,210765,9,40
44,476391,10,40
48,141483,10,40
27,46442,13,35
43,182254,10,40
61,125155,9,40
17,96282,6,14
31,144064,9,48
30,345898,9,46
39,34180,11,60
47,287320,14,40
59,190541,9,40
52,279337,9,40
52,89534,9,40
28,236861,13,50
30,154120,13,65
26,136309,13,40
36,288585,9,20
18,165532,10,15
35,153535,9,36
43,33729,13,45
36,223020,10,20
20,155775,9,30
28,242482,9,40
17,270942,9,35
18,38307,7,30
48,125892,10,38
51,74160,14,60
18,334427,6,36
31,358461,10,40
45,169180,10,45
52,89041,14,60
59,212783,9,38
30,48014,14,40
61,716416,10,44
46,149388,13,40
37,177858,10,40
33,143653,9,30
37,213726,9,40
32,286675,10,40
43,270522,9,26
19,391329,10,30
27,132686,8,50
72,473748,9,30
31,241885,9,40
58,118303,9,35
33,405913,10,40
20,161978,9,40
31,111567,5,43
23,122048,9,40
67,45814,4,40
34,140011,15,55
65,90377,11,60
36,183735,14,40
36,143123,15,50
46,174995,9,45
60,147473,9,40
51,193374,2,40
49,195437,12,60
28,328923,9,38
21,149637,10,40
30,152453,7,40
48,195491,9,30
19,139466,10,25
63,101996,14,40
51,122288,10,36
65,111095,9,16
32,356689,9,40
28,222442,9,51
18,157131,7,40
21,189013,10,35
48,99127,12,45
23,278391,9,40
28,332249,9,45
33,213887,9,40
30,131568,13,40
30,381153,10,40
31,157640,9,55
56,444089,7,40
41,93227,13,60
32,152940,12,30
25,19214,9,40
27,289147,13,40
25,153534,10,40
21,51985,9,40
42,175642,13,40
26,259505,10,40
46,169324,9,45
45,289230,13,48
44,445382,10,40
27,300783,10,42
36,30509,10,45
50,165001,13,50
42,342865,9,40
42,79586,13,40
30,159187,13,55
32,175878,4,35
34,44464,16,60
63,379940,13,40
37,294919,10,40
33,142383,12,36
45,77085,13,40
22,102632,10,45
50,166758,10,15
38,243872,13,70
69,140176,9,24
44,252202,9,40
42,142756,13,50
40,57233,9,60
25,404616,13,40
21,191497,10,20
41,194710,9,40
53,302868,13,50
56,70720,8,40
23,141264,10,40
47,365516,14,40
28,419740,13,52
37,333305,16,35
30,267161,10,45
22,204160,9,40
19,55284,9,35
50,220640,14,50
45,390368,10,99
66,427422,16,25
29,380560,5,40
24,330836,9,40
30,235271,13,40
28,144521,9,40
70,124449,14,8
50,222020,9,40
34,340458,8,40
40,114580,9,24
38,233571,9,40
49,50474,9,40
55,296991,15,40
60,156616,9,40
32,340940,13,40
35,204277,13,40
47,274200,7,40
27,660870,13,60
53,30290,9,40
56,365050,4,20
43,222971,3,40
26,103148,9,40
41,36924,10,40
52,40641,6,40
23,65481,9,40
36,280169,14,50
67,330144,14,48
25,458549,2,96
21,91819,11,30
33,231826,4,40
42,143046,9,40
40,145649,9,25
54,109418,13,35
21,309348,10,4
23,222925,9,40
59,175942,9,45
19,182355,10,20
25,220098,9,30
43,242804,9,40
37,183800,13,50
35,126675,9,48
63,189253,10,45
38,127601,10,35
26,108658,9,40
59,124771,13,30
54,329733,9,40
20,64292,10,50
30,156890,9,45
51,177727,12,45
43,145762,13,40
32,114733,13,35
41,227734,9,40
25,72338,9,40
25,258276,10,40
51,197656,10,45
35,177974,9,40
38,257416,5,40
32,152109,9,48
35,474136,9,40
30,68330,13,40
36,280440,12,45
28,108574,10,40
34,163110,14,40
44,104196,9,84
58,247276,4,30
54,91506,10,65
72,116640,10,20
49,94638,9,40
72,183616,9,50
52,334273,12,40
21,96844,10,20
48,102076,13,35
25,197036,6,40
43,102025,14,50
31,310773,10,40
55,141409,6,50
25,352806,9,40
69,312653,10,25
44,138845,10,40
31,227325,10,40
64,388625,6,10
20,27337,9,48
38,363395,10,40
28,191088,13,40
38,172571,10,58
21,119156,10,20
47,51579,10,50
28,196564,9,45
40,171424,9,40
33,283921,10,40
48,128432,9,40
32,339773,10,40
21,197050,10,35
57,109973,9,40
41,331651,15,50
31,397467,9,40
19,164585,9,40
58,142924,14,24
30,111415,13,45
38,164526,15,45
30,180283,9,40
33,133278,9,40
39,207185,10,35
23,204209,10,10
41,187322,9,48
76,329355,9,13
41,347653,15,50
59,167963,9,40
26,322547,13,45
50,198581,15,50
39,202937,14,40
31,348504,13,50
34,33117,10,40
22,117210,10,25
46,51618,9,40
50,313546,9,40
51,153486,10,40
37,269329,11,45
27,30244,9,80
58,123436,13,50
51,269080,4,40
53,266598,9,40
37,138192,9,45
28,292536,10,50
34,198091,9,72
34,111589,6,40
26,159662,6,40
41,89172,10,40
32,204374,9,40
43,200355,9,70
45,263982,10,40
23,193090,13,30
30,149184,13,45
31,258932,9,80
23,167424,10,35
24,321435,13,50
31,165949,9,40
44,172032,9,40
62,150693,9,42
29,134890,13,40
47,216734,13,50
32,213179,10,40
42,89942,10,40
41,101593,14,50
21,216181,10,35
33,222162,9,40
27,198197,13,45
31,30290,9,40
36,24106,9,40
36,132879,2,40
24,402778,5,12
40,436493,9,25
22,304602,9,40
23,447488,5,35
44,202466,10,60
41,423217,13,50
55,165881,9,40
25,64671,9,40
49,162856,10,40
54,115602,9,40
32,260954,7,30
38,299036,13,55
35,199753,9,48
29,101597,10,54
41,174491,9,40
34,355700,9,20
38,192337,13,40
53,317313,9,60
59,169982,10,60
59,296253,9,40
27,214695,9,60
57,206343,9,40
30,151868,5,40
61,181033,9,60
